seeds: 862276159 59873817 391478845 36137774 641675771 86153966 696096725 21709689 670927817 81808951 493687808 66597212 883574476 64706342 632887479 46725929 767446164 36216520 241650700 97678887 722666148 61543458 147118730 85266915 309888610 87914308 691943189 96084141 935509174 56025925 196835156 43204494 622742136 27206026 936397542 46326727 272496057 37674565 752818519 96752694 440297520 49442079 114641442 84841354 344981649 61915776 375937613 36015014 692223471 60891331 288698467 94215697 434486800 61710234 350595579 42228515 471529365 68191319 855259149 23720158 302085645 12008066 327576907 82123527 688011178 89878091 320791040 62201815 773455302 72212818 908084030 25441103 198197406 94937985 683451073 96968073 808340872 75168221 894007198 43494312 778241036 52874956 249241893 36373328 224667795 53702296 226650564 88223109 293593300 22542468 224928492 14102983 726591346 19326521 504128211 79707412 164887716 48467276 425928134 39098866 285506666 79460117 711784491 11987214 125667760 87462458 949243278 18824032 533247669 28350761 706665018 39107833 887631372 33628560 196746554 56194307 256901323 12814290 311302128 98526846 821607133 81774060 632164747 72154207 769282782 44397247 784363913 69432460 212102261 24220516 529175165 49687079 711981049 73544941 947813679 12028497 204188642 35214024 313070374 80113264 545286800 11574355 234649847 96749234 498442306 35534094 252738125 84261311 939681167 57286323 486518983 12745789 331638180 11056616 508608441 12645545 898519517 87181138 558933029 65287374 578795919 47623876 128430142 68793450 138946858 50657261 167047142 97253016 606889557 64154951 177743043 61059583 345391671 74892984 727505811 69308431 898299916 92788786 603263562 95422493 169166227 86609835 261015790 61465847 383252324 18592885 596043048 39522282 317610218 45084768 628331041 31871652 741612832 43693595 605734229 68227643 882856680 39371294 755523136 50411531 917892404 33240468 173339363 98208212 114025182 78665341 193607763 98721825 519288394 24191990 439089466 47162241 646013667 47090998 515654635 12090260 255425897 84042476 299954921 30622006 542196418 49109015 897353144 65574825 216505235 32748581 110438463 59489600 646922963 58319860 200950018 76783411 652462975 70725720 175610934 86084773 814899254 92926131 824857083 96339299 818917465 28128173 658434883 39319188 891997137 67004615 189314643 98327849 774539044 50255671 231407777 95250333 851343272 87039867 550778046 15394157

seed-to-soil map:
989670740	974607763	8040956
665011238	805039947	6814147
809087638	442243759	7005466
206230188	460107662	5241587
766405673	495282097	7779984
204158409	757895111	7902390
819735470	995646283	4574085
880379006	626801124	7280010
128066918	185975389	8875027
156550830	429730773	3585212
947671632	465179801	2115171
728841587	696946618	2516573
495134702	398240505	2160847
690202242	433644877	3177152
923330082	101273420	8588198
736741489	548476789	7139986
725930732	197243722	3600974
647800637	289066590	3081605
420737587	288721346	1073341
679373891	283556215	5030827
251951049	795000148	8797079
382243506	762263986	7513858
780151845	843202592	9140319
117602087	163278173	1775716
491248013	947186671	6827888
448132038	998458535	4577042
440153358	862102512	8703566
515222433	378419436	3875015
176848310	589265264	7307254
880352731	973970074	5679642
366015351	708154893	9632211
601328680	298917750	3762318
340701107	518153069	6955216
400146081	844784826	9143863
500711212	270793369	5097794
572740041	661339166	4469556
141382135	462252214	1857938
283681984	802889357	8931402
458090988	640242954	7350238
794239451	334203068	2463723
188852684	340910050	3800403
700520854	850535494	1813927
436276494	618807048	5348212
921665724	940607737	1224923
937678926	884878490	8379235
837217583	757795731	6731899
163374500	163777520	5481876
571024104	203172989	5593967
281965229	380866766	3006929
106623500	827694210	8551903
762700387	183975994	3820611
899722352	631767809	1151770
636495538	548060067	9838409
236609327	771850237	7473279
744024672	649910339	5846204
688888664	460307466	8766422
399375995	399165089	7810932
844240682	580933626	3811552
146697426	689861371	6485816
139426351	392304817	2261284
270136919	946553373	5805041
234842046	345693840	9976787
334534916	288957206	1204326
474723438	527090174	1855799
349594637	830163419	1710872
982988164	809236573	3598189
310812674	323555285	6573101
530120926	744470596	6759356
299267463	431030533	6042369
760319121	308648642	8096758
431810454	639511013	1070892
363962058	695894455	3616165
390568570	217348083	2091240
120419817	352928605	6520489
478584104	818108051	3867955
500607407	880654101	1919942
491173502	968906471	5246044
721280067	953986066	4286667
817263941	910707235	4410161
962594207	270809488	4307496
425122446	614587855	4097645
758502993	355425707	2187912
293971690	219777446	7630570
578131320	590081934	7206105
553215428	963384094	9064218
899527352	530368382	6474273
933633300	781832512	7891404
433711400	286836712	4744586
233714883	512982556	8574598
827990124	637852859	6083092
267698782	468878555	2940685
716236035	896150044	3698194
864713523	111236991	1986340
526972906	894236400	3549290
607665974	422595203	6580113
979822316	608097536	3037126
